superstructure	structure	cardinality
https://armidalesoftware.com/issue/tags/AGE.htm	https://armidalesoftware.com/issue/tags/AGER.htm	{0:1}
https://armidalesoftware.com/issue/tags/AGE.htm	https://gedcom.io/terms/v5.5.1/FAM-NCHI	{1:1}
https://armidalesoftware.com/issue/tags/FATH.htm	https://gedcom.io/terms/v5.5.1/AGE	{0:1}
https://armidalesoftware.com/issue/tags/FATH.htm	https://gedcom.io/terms/v5.5.1/BIRT	{0:1}
https://armidalesoftware.com/issue/tags/FATH.htm	https://gedcom.io/terms/v5.5.1/FACT	{0:1}
https://armidalesoftware.com/issue/tags/FATH.htm	https://gedcom.io/terms/v5.5.1/MARR	{0:1}
https://armidalesoftware.com/issue/tags/FATH.htm	https://gedcom.io/terms/v5.5.1/OCCU	{0:1}
https://armidalesoftware.com/issue/tags/INDI.htm	https://armidalesoftware.com/issue/tags/FATH.htm	{0:1}
https://armidalesoftware.com/issue/tags/INDI.htm	https://armidalesoftware.com/issue/tags/MOTH.htm	{0:1}
https://armidalesoftware.com/issue/tags/INDI.htm	https://armidalesoftware.com/issue/tags/MSTAT.htm	{0:1}
https://armidalesoftware.com/issue/tags/INDI.htm	https://gedcom.io/terms/v5.5.1/AGE	{0:1}
https://armidalesoftware.com/issue/tags/INDI.htm	https://gedcom.io/terms/v5.5.1/BIRT	{0:1}
https://armidalesoftware.com/issue/tags/INDI.htm	https://gedcom.io/terms/v5.5.1/FACT	{0:M}
https://armidalesoftware.com/issue/tags/INDI.htm	https://gedcom.io/terms/v5.5.1/INDI-NAME	{0:1}
https://armidalesoftware.com/issue/tags/INDI.htm	https://gedcom.io/terms/v5.5.1/OCCU	{0:1}
https://armidalesoftware.com/issue/tags/INDI.htm	https://gedcom.io/terms/v5.5.1/ROLE	{0:1}
https://armidalesoftware.com/issue/tags/INDI.htm	https://gedcom.io/terms/v5.5.1/SEX	{0:1}
https://armidalesoftware.com/issue/tags/MOTH.htm	https://gedcom.io/terms/v5.5.1/AGE	{0:1}
https://armidalesoftware.com/issue/tags/MOTH.htm	https://gedcom.io/terms/v5.5.1/BIRT	{0:1}
https://armidalesoftware.com/issue/tags/MOTH.htm	https://gedcom.io/terms/v5.5.1/FACT	{0:1}
https://armidalesoftware.com/issue/tags/MOTH.htm	https://gedcom.io/terms/v5.5.1/MARR	{0:1}
https://armidalesoftware.com/issue/tags/MOTH.htm	https://gedcom.io/terms/v5.5.1/OCCU	{0:1}
https://armidalesoftware.com/issue/tags/SEX.htm	https://armidalesoftware.com/issue/tags/AGE.htm	{1:1}
https://armidalesoftware.com/issue/tags/SEX.htm	https://gedcom.io/terms/v5.5.1/TYPE-EVENT_OR_FACT_CLASSIFICATION	{0:1}
https://armidalesoftware.com/issue/tags/record-CENR.htm	https://armidalesoftware.com/issue/tags/INDI.htm	{1:M}
https://armidalesoftware.com/issue/tags/record-CENR.htm	https://armidalesoftware.com/issue/tags/SCHD.htm	{0:1}
https://armidalesoftware.com/issue/tags/record-CENR.htm	https://armidalesoftware.com/issue/tags/SEX.htm	{0:M}
https://armidalesoftware.com/issue/tags/record-CENR.htm	https://gedcom.io/terms/v5.5.1/CHAN	{0:1}
https://armidalesoftware.com/issue/tags/record-CENR.htm	https://gedcom.io/terms/v5.5.1/DATE-DATE_VALUE	{1:1}
https://armidalesoftware.com/issue/tags/record-CENR.htm	https://gedcom.io/terms/v5.5.1/PLAC-PLACE_NAME	{1:1}
https://armidalesoftware.com/issue/tags/record-CENR.htm	https://gedcom.io/terms/v5.5.1/SOUR-SOURCE_DESCRIPTION	{0:1}
https://armidalesoftware.com/issue/tags/record-CENR.htm	https://gedcom.io/terms/v5.5.1/SOUR-XREF_SOUR	{0:1}
https://gedcom.io/terms/v5.5.1/ADDR	https://gedcom.io/terms/v5.5.1/ADR1	{0:1}
https://gedcom.io/terms/v5.5.1/ADDR	https://gedcom.io/terms/v5.5.1/ADR2	{0:1}
https://gedcom.io/terms/v5.5.1/ADDR	https://gedcom.io/terms/v5.5.1/ADR3	{0:1}
https://gedcom.io/terms/v5.5.1/ADDR	https://gedcom.io/terms/v5.5.1/CITY	{0:1}
