structure	payload
https://armidalesoftware.com/issue/tags/AGE.htm	https://gedcom.io/terms/v5.5.1/type-AGE_AT_EVENT
https://armidalesoftware.com/issue/tags/AGER.htm	https://armidalesoftware.com/issue/types/AgeRange.htm
https://armidalesoftware.com/issue/tags/CENR.htm	@<https://armidalesoftware.com/issue/tags/record-CENR.htm>@
https://armidalesoftware.com/issue/tags/FATH.htm	
https://armidalesoftware.com/issue/tags/INDI.htm	@<https://gedcom.io/terms/v5.5.1/record-INDI>@
https://armidalesoftware.com/issue/tags/MOTH.htm	
https://armidalesoftware.com/issue/tags/MSTAT.htm	http://www.w3.org/2001/XMLSchema#string
https://armidalesoftware.com/issue/tags/SCHD.htm	http://www.w3.org/2001/XMLSchema#string
https://armidalesoftware.com/issue/tags/SEX.htm	http://www.w3.org/2001/XMLSchema#string
https://armidalesoftware.com/issue/tags/record-CENR.htm	
https://gedcom.io/terms/v5.5.1/ABBR	http://www.w3.org/2001/XMLSchema#string
https://gedcom.io/terms/v5.5.1/ADDR	http://www.w3.org/2001/XMLSchema#string
https://gedcom.io/terms/v5.5.1/ADR1	http://www.w3.org/2001/XMLSchema#string
https://gedcom.io/terms/v5.5.1/ADR2	http://www.w3.org/2001/XMLSchema#string
https://gedcom.io/terms/v5.5.1/ADR3	http://www.w3.org/2001/XMLSchema#string
https://gedcom.io/terms/v5.5.1/AFN	http://www.w3.org/2001/XMLSchema#string
https://gedcom.io/terms/v5.5.1/AGE	https://gedcom.io/terms/v5.5.1/type-AGE_AT_EVENT
https://gedcom.io/terms/v5.5.1/AGNC	http://www.w3.org/2001/XMLSchema#string
https://gedcom.io/terms/v5.5.1/ALIA	@<https://gedcom.io/terms/v5.5.1/record-INDI>@
https://gedcom.io/terms/v5.5.1/ANCE	http://www.w3.org/2001/XMLSchema#nonNegativeInteger
https://gedcom.io/terms/v5.5.1/ANCI	@<https://gedcom.io/terms/v5.5.1/record-SUBM>@
https://gedcom.io/terms/v5.5.1/ANUL	
