superstructure	tag	structure
	CONT	https://gedcom.io/terms/v7/CONT
	FAM	https://gedcom.io/terms/v5.5.1/record-FAM
	FAM	https://gedcom.io/terms/v7.1/record-FAM
	FAM	https://gedcom.io/terms/v7/record-FAM
	HEAD	https://gedcom.io/terms/v5.5.1/HEAD
	HEAD	https://gedcom.io/terms/v7.1/HEAD
	HEAD	https://gedcom.io/terms/v7/HEAD
	INDI	https://gedcom.io/terms/v5.5.1/record-INDI
	INDI	https://gedcom.io/terms/v7.1/record-INDI
	INDI	https://gedcom.io/terms/v7/record-INDI
	NOTE	https://gedcom.io/terms/v5.5.1/record-NOTE
	OBJE	https://gedcom.io/terms/v5.5.1/record-OBJE
	OBJE	https://gedcom.io/terms/v7.1/record-OBJE
	OBJE	https://gedcom.io/terms/v7/record-OBJE
	REPO	https://gedcom.io/terms/v5.5.1/record-REPO
	REPO	https://gedcom.io/terms/v7.1/record-REPO
	REPO	https://gedcom.io/terms/v7/record-REPO
	SNOTE	https://gedcom.io/terms/v7.1/record-SNOTE
	SNOTE	https://gedcom.io/terms/v7/record-SNOTE
	SOUR	https://gedcom.io/terms/v5.5.1/record-SOUR
	SOUR	https://gedcom.io/terms/v7.1/record-SOUR
	SOUR	https://gedcom.io/terms/v7/record-SOUR
	SUBM	https://gedcom.io/terms/v5.5.1/record-SUBM
	SUBM	https://gedcom.io/terms/v7.1/record-SUBM
	SUBM	https://gedcom.io/terms/v7/record-SUBM
	SUBN	https://gedcom.io/terms/v5.5.1/record-SUBN
	TRLR	https://gedcom.io/terms/v5.5.1/TRLR
	TRLR	https://gedcom.io/terms/v7/TRLR
	_CENR	https://armidalesoftware.com/issue/tags/record-CENR.htm
https://armidalesoftware.com/issue/tags/AGE.htm	NCHI	https://gedcom.io/terms/v5.5.1/FAM-NCHI
https://armidalesoftware.com/issue/tags/AGE.htm	_AGER	https://armidalesoftware.com/issue/tags/AGER.htm
https://armidalesoftware.com/issue/tags/FATH.htm	AGE	https://gedcom.io/terms/v5.5.1/AGE
https://armidalesoftware.com/issue/tags/FATH.htm	BIRT	https://gedcom.io/terms/v5.5.1/BIRT
https://armidalesoftware.com/issue/tags/FATH.htm	FACT	https://gedcom.io/terms/v5.5.1/FACT
https://armidalesoftware.com/issue/tags/FATH.htm	MARR	https://gedcom.io/terms/v5.5.1/MARR
https://armidalesoftware.com/issue/tags/FATH.htm	OCCU	https://gedcom.io/terms/v5.5.1/OCCU
https://armidalesoftware.com/issue/tags/INDI.htm	AGE	https://gedcom.io/terms/v5.5.1/AGE
https://armidalesoftware.com/issue/tags/INDI.htm	BIRT	https://gedcom.io/terms/v5.5.1/BIRT
https://armidalesoftware.com/issue/tags/INDI.htm	FACT	https://gedcom.io/terms/v5.5.1/FACT
https://armidalesoftware.com/issue/tags/INDI.htm	FATH	https://armidalesoftware.com/issue/tags/FATH.htm
https://armidalesoftware.com/issue/tags/INDI.htm	MOTH	https://armidalesoftware.com/issue/tags/MOTH.htm
https://armidalesoftware.com/issue/tags/INDI.htm	NAME	https://gedcom.io/terms/v5.5.1/INDI-NAME
https://armidalesoftware.com/issue/tags/INDI.htm	OCCU	https://gedcom.io/terms/v5.5.1/OCCU
https://armidalesoftware.com/issue/tags/INDI.htm	ROLE	https://gedcom.io/terms/v5.5.1/ROLE
https://armidalesoftware.com/issue/tags/INDI.htm	SEX	https://gedcom.io/terms/v5.5.1/SEX
https://armidalesoftware.com/issue/tags/INDI.htm	_MSTAT	https://armidalesoftware.com/issue/tags/MSTAT.htm
https://armidalesoftware.com/issue/tags/MOTH.htm	AGE	https://gedcom.io/terms/v5.5.1/AGE
https://armidalesoftware.com/issue/tags/MOTH.htm	BIRT	https://gedcom.io/terms/v5.5.1/BIRT
https://armidalesoftware.com/issue/tags/MOTH.htm	FACT	https://gedcom.io/terms/v5.5.1/FACT
https://armidalesoftware.com/issue/tags/MOTH.htm	MARR	https://gedcom.io/terms/v5.5.1/MARR
https://armidalesoftware.com/issue/tags/MOTH.htm	OCCU	https://gedcom.io/terms/v5.5.1/OCCU
https://armidalesoftware.com/issue/tags/SEX.htm	AGE	https://armidalesoftware.com/issue/tags/AGE.htm
https://armidalesoftware.com/issue/tags/SEX.htm	TYPE	https://gedcom.io/terms/v5.5.1/TYPE-EVENT_OR_FACT_CLASSIFICATION
https://armidalesoftware.com/issue/tags/record-CENR.htm	CHAN	https://gedcom.io/terms/v5.5.1/CHAN
https://armidalesoftware.com/issue/tags/record-CENR.htm	DATE	https://gedcom.io/terms/v5.5.1/DATE-DATE_VALUE
https://armidalesoftware.com/issue/tags/record-CENR.htm	INDI	https://armidalesoftware.com/issue/tags/INDI.htm
https://armidalesoftware.com/issue/tags/record-CENR.htm	PLAC	https://gedcom.io/terms/v5.5.1/PLAC-PLACE_NAME
https://armidalesoftware.com/issue/tags/record-CENR.htm	SEX	https://armidalesoftware.com/issue/tags/SEX.htm
https://armidalesoftware.com/issue/tags/record-CENR.htm	SOUR	https://gedcom.io/terms/v5.5.1/SOUR-SOURCE_DESCRIPTION
https://armidalesoftware.com/issue/tags/record-CENR.htm	SOUR	https://gedcom.io/terms/v5.5.1/SOUR-XREF_SOUR
https://armidalesoftware.com/issue/tags/record-CENR.htm	_SCHD	https://armidalesoftware.com/issue/tags/SCHD.htm
https://gedcom.io/terms/v5.5.1/ADDR	ADR1	https://gedcom.io/terms/v5.5.1/ADR1
https://gedcom.io/terms/v5.5.1/ADDR	ADR2	https://gedcom.io/terms/v5.5.1/ADR2
https://gedcom.io/terms/v5.5.1/ADDR	ADR3	https://gedcom.io/terms/v5.5.1/ADR3
https://gedcom.io/terms/v5.5.1/ADDR	CITY	https://gedcom.io/terms/v5.5.1/CITY
https://gedcom.io/terms/v5.5.1/ADDR	CTRY	https://gedcom.io/terms/v5.5.1/CTRY
https://gedcom.io/terms/v5.5.1/ADDR	POST	https://gedcom.io/terms/v5.5.1/POST
https://gedcom.io/terms/v5.5.1/ADDR	STAE	https://gedcom.io/terms/v5.5.1/STAE
https://gedcom.io/terms/v5.5.1/AGE	_AGER	https://armidalesoftware.com/issue/tags/AGER.htm
https://gedcom.io/terms/v5.5.1/ANUL	ADDR	https://gedcom.io/terms/v5.5.1/ADDR
https://gedcom.io/terms/v5.5.1/ANUL	AGNC	https://gedcom.io/terms/v5.5.1/AGNC
https://gedcom.io/terms/v5.5.1/ANUL	CAUS	https://gedcom.io/terms/v5.5.1/CAUS
https://gedcom.io/terms/v5.5.1/ANUL	DATE	https://gedcom.io/terms/v5.5.1/DATE-DATE_VALUE
https://gedcom.io/terms/v5.5.1/ANUL	EMAIL	https://gedcom.io/terms/v5.5.1/EMAIL
https://gedcom.io/terms/v5.5.1/ANUL	FAX	https://gedcom.io/terms/v5.5.1/FAX
https://gedcom.io/terms/v5.5.1/ANUL	HUSB	https://gedcom.io/terms/v5.5.1/HUSB-NULL
https://gedcom.io/terms/v5.5.1/ANUL	NOTE	https://gedcom.io/terms/v5.5.1/NOTE-SUBMITTER_TEXT_OR_NULL
https://gedcom.io/terms/v5.5.1/ANUL	NOTE	https://gedcom.io/terms/v5.5.1/NOTE-XREF_NOTE
https://gedcom.io/terms/v5.5.1/ANUL	OBJE	https://gedcom.io/terms/v5.5.1/OBJE-NULL
https://gedcom.io/terms/v5.5.1/ANUL	OBJE	https://gedcom.io/terms/v5.5.1/OBJE-XREF_OBJE
https://gedcom.io/terms/v5.5.1/ANUL	PHON	https://gedcom.io/terms/v5.5.1/PHON
https://gedcom.io/terms/v5.5.1/ANUL	PLAC	https://gedcom.io/terms/v5.5.1/PLAC-PLACE_NAME
https://gedcom.io/terms/v5.5.1/ANUL	RELI	https://gedcom.io/terms/v5.5.1/RELI-RELIGIOUS_AFFILIATION
https://gedcom.io/terms/v5.5.1/ANUL	RESN	https://gedcom.io/terms/v5.5.1/RESN
